Insee code,Postal code,City Name,Department,Population,Number of Building Permit,Building Score,GeoPoint
77487,77000,VAUX-LE-PENIL,SEINE-ET-MARNE,11.2,77,6.875,"48.5245871061,2.69727154378"
78686,78220,VIROFLAY,YVELINES,15.9,452,28.427673,"48.802404069,2.17151291149"
91223,91150,ETAMPES,ESSONNE,22.2,713,32.117115,"48.4211282308,2.13838881712"
94028,94000,CRETEIL,VAL-DE-MARNE,89.4,1059,11.845637,"48.7837401836,2.45463530415"
95197,95170,DEUIL-LA-BARRE,VAL-D'OISE,21.7,437,20.138248,"48.9712690171,2.32616290144"
91201,91210,DRAVEIL,ESSONNE,28.6,339,11.853147,"48.6778413772,2.42197801862"
95018,95100,ARGENTEUIL,VAL-D'OISE,102.8,1305,12.694552,"48.9511344629,2.2410409502"
91432,91420,MORANGIS,ESSONNE,11.9,417,35.04202,"48.702703885,2.33614296581"
95252,95130,FRANCONVILLE,VAL-D'OISE,33.3,1184,35.555557,"48.9884161105,2.2238932062"
78642,78480,VERNEUIL-SUR-SEINE,YVELINES,15.2,331,21.776316,"48.9872093367,1.96276532174"
78158,78150,LE CHESNAY,YVELINES,29.2,383,13.116438,"48.8272397742,2.13014908209"
77014,77210,AVON,SEINE-ET-MARNE,13.9,308,22.158274,"48.4129699101,2.73351873997"
92004,92600,ASNIERES-SUR-SEINE,HAUTS-DE-SEINE,81.6,4632,56.764706,"48.9153530123,2.2880384663"
94017,94500,CHAMPIGNY-SUR-MARNE,VAL-DE-MARNE,75.1,3203,42.6498,"48.817254364,2.51709815257"
93049,93360,NEUILLY-PLAISANCE,SEINE-SAINT-DENIS,20.3,740,36.453205,"48.8643287852,2.51040249898"
91421,91230,MONTGERON,ESSONNE,22.9,295,12.882096,"48.6951531801,2.46249881778"
93031,93800,EPINAY-SUR-SEINE,SEINE-SAINT-DENIS,53.8,687,12.769517,"48.9550132062,2.31453043231"
78126,78170,LA CELLE-SAINT-CLOUD,YVELINES,20.8,119,5.721154,"48.8469487124,2.13519126228"
92063,92500,RUEIL-MALMAISON,HAUTS-DE-SEINE,79.1,4277,54.070797,"48.8691897371,2.1773406315"
93006,93170,BAGNOLET,SEINE-SAINT-DENIS,33.8,929,27.485209,"48.8690836308,2.42274096688"
94043,94270,LE KREMLIN-BICETRE,VAL-DE-MARNE,26.4,116,4.3939395,"48.809220102,2.35657965243"
